tstamp	latitude	longitude	speed	trip_id
2023-01-17 09:57:57	45.509422	-122.681453	5.4	239584735
2023-01-17 09:58:57	45.511332	-122.680477	3.78	239584735
2023-01-17 09:59:07	45.511842	-122.680228	6.3	239584735
2023-01-17 09:59:22	45.512218	-122.681343	6.47	239584735
2023-01-17 09:59:32	45.512402	-122.682027	5.9	239584735
2023-01-17 09:59:52	45.512402	-122.682033	0	239584735
2023-01-17 10:00:02	45.51244	-122.682125	0.9	239584735
2023-01-17 10:01:27	45.51404	-122.681288	2.28	239584735
2023-01-17 10:01:52	45.514872	-122.68087	4	239584735
2023-01-17 10:01:57	45.515168	-122.680715	7.4	239584735
2023-01-17 10:02:02	45.515513	-122.680528	8.4	239584735
2023-01-17 10:02:07	45.515877	-122.680337	8.8	239584735
2023-01-17 10:02:17	45.516347	-122.680097	5.6	239584735
2023-01-17 10:02:22	45.51663	-122.679908	7.2	239584735
2023-01-17 10:03:02	45.517495	-122.679478	2.62	239584735
2023-01-17 10:03:32	45.518945	-122.678732	5.8	239584735
2023-01-17 10:03:37	45.51918	-122.678602	6	239584735
2023-01-17 10:03:47	45.519717	-122.678328	6.5	239584735
2023-01-17 10:03:52	45.520045	-122.678128	8.2	239584735
2023-01-17 10:06:47	45.523287	-122.676473	2.26	239584735
2023-01-17 10:06:57	45.523623	-122.676463	3.4	239584735
2023-01-17 10:08:02	45.52436	-122.676442	1.26	239584735
2023-01-17 10:08:12	45.524392	-122.676447	0.5	239584735
2023-01-17 10:08:17	45.524692	-122.676462	7.6	239584735
2023-01-17 10:08:27	45.525068	-122.67649	3.7	239584735
2023-01-17 10:09:12	45.525208	-122.67547	2	239584735
2023-01-17 10:10:27	45.525275	-122.672023	3.65	239584735
2023-01-17 10:11:30	45.526665	-122.67076	3.6	239584735
2023-01-17 10:11:35	45.526965	-122.670425	8.8	239584735
2023-01-17 10:12:03	45.528432	-122.667278	10.79	239584735
2023-01-17 10:12:08	45.528658	-122.66668	11	239584735
2023-01-17 10:13:00	45.529933	-122.665693	4.08	239584735
2023-01-17 10:13:05	45.530283	-122.665685	8	239584735
2023-01-17 10:15:27	45.530697	-122.66571	0.34	239584735
2023-01-17 10:15:32	45.53106	-122.665743	8.6	239584735
2023-01-17 10:15:47	45.532525	-122.666115	11.47	239584735
2023-01-17 10:15:57	45.532902	-122.666582	5.3	239584735
2023-01-17 10:16:17	45.534208	-122.666665	7.65	239584735
2023-01-17 10:16:52	45.534348	-122.666673	0.49	239584735
